Date,Product_ID,Product_Name,Product_Category,Supplier_Name,Warehouse_Location,Region,Opening_Stock,Incoming_Stock,Units_Sold,Closing_Stock,Reorder_Level,Reorder_Status,Lead_Time_Days,Order_Quantity,Delivery_Status,Delivery_Time_Days,Inventory_Holding_Cost,Stockout_Status,Demand_Forecast,Actual_Demand,Forecast_Accuracy_Pct,Inventory_Turnover_Ratio
2024-01-05,P001,Industrial Pump A,Machinery,Bharat Supplies,Mumbai,West,500,200,180,520,150,No Reorder,7,200,On Time,7,12500,No,190,180,0.947,3.2
2024-01-08,P002,Safety Gloves,Safety Equipment,Sharma Traders,Delhi,North,800,300,250,850,200,No Reorder,5,300,On Time,5,8400,No,260,250,0.962,4.5
2024-01-10,P003,Conveyor Belt,Machinery,Rajan Industries,Chennai,South,300,100,310,90,120,Reorder,10,150,Delayed,14,9800,No,300,310,0.968,5.1
2024-01-12,P004,Raw Steel Rods,Raw Material,Steel Corp India,Pune,West,1200,500,400,1300,400,No Reorder,8,500,On Time,8,22000,No,420,400,0.952,2.8
2024-01-15,P005,Hydraulic Oil,Lubricants,PetroLube Ltd,Ahmedabad,West,600,200,580,220,250,Reorder,6,300,Delayed,9,7200,No,560,580,0.964,6.2
2024-01-18,P006,Electrical Wiring,Electrical,Spark Electric,Hyderabad,South,400,150,120,430,100,No Reorder,4,150,On Time,4,5500,No,130,120,0.923,3.8
2024-01-20,P007,Forklift Battery,Machinery,PowerCell India,Kolkata,East,200,80,190,90,80,Reorder,12,100,On Time,12,18000,No,200,190,0.950,4.9
2024-01-22,P008,Packing Tape,Packaging,Pack Masters,Mumbai,West,2000,1000,1800,1200,500,No Reorder,3,1000,On Time,3,3200,No,1850,1800,0.973,7.1
2024-01-25,P009,PPE Kit,Safety Equipment,Safe Guard Co,Delhi,North,350,100,360,90,120,Reorder,7,150,Delayed,11,6800,Yes,340,360,0.944,5.6
2024-01-28,P010,Diesel Generator,Machinery,Power Plus,Chennai,South,50,20,45,25,20,No Reorder,15,20,On Time,15,35000,No,40,45,0.889,3.3
2024-02-02,P001,Industrial Pump A,Machinery,Bharat Supplies,Mumbai,West,520,180,200,500,150,No Reorder,7,200,On Time,7,13000,No,210,200,0.952,3.4
2024-02-05,P002,Safety Gloves,Safety Equipment,Sharma Traders,Delhi,North,850,250,300,800,200,No Reorder,5,300,On Time,5,8800,No,280,300,0.929,4.8
2024-02-07,P003,Conveyor Belt,Machinery,Rajan Industries,Chennai,South,90,200,180,110,120,Reorder,10,150,On Time,10,9200,No,170,180,0.941,4.7
